P,lK1_ratio,lK3_ratio
1.9036539387158786,(0.000464278448916272-6.596859182462872e-29j),(0.0009273651544267288-1.317068036973459e-28j)
2.0243347650464907,(0.0004937534911643523-3.2980828722988166e-28j),(0.0009860969840336706-6.583503009404977e-28j)
2.15266606899157,(0.0005251067204773126-7.144560845721688e-29j),(0.0010485445280989506-1.4258944163422761e-28j)
2.289132847294255,(0.0005584592933740529+1.933115093888219e-28j),(0.0011149423576958517+3.857240509882714e-28j)
2.43425084273116,(0.0005939404892523303-1.420988007479898e-29j),(0.0011855397863617335-2.8346943420125417e-29j)
2.58856849323593,(0.00063168831791049+2.1879371558068384e-28j),(0.00126060178804771+4.363515565443934e-28j)
2.75266900458613,(0.0006718501841761968+1.0289553816293522e-28j),(0.0013404099711276667+2.0514980559842128e-28j)
2.927172554486697,(0.0007145836189723051-7.268646008288028e-29j),(0.0014252636117863913-1.4487272122684408e-28j)
3.112738636379729,(0.0007600570834039209+8.066008454421795e-28j),(0.0015154807501876792+1.6070687399219691e-27j)
3.3100685518384827,(0.0008084508595511174-1.4491182835762756e-28j),(0.0016113993529088331-2.8860526143059174e-28j)
3.519908060964968,(0.0008599580372285957-1.3170930776851383e-28j),(0.0017133785458568408-2.62193197590287e-28j)
3.743050200807662,(0.0009147856138966082+3.6635597043695746e-28j),(0.0018217999210613106+7.289373003751608e-28j)
3.9803382824508726,(0.0009731557249413309+2.826468398237028e-28j),(0.0019370689223694273+5.62066425536089e-28j)
4.232669078102504,(0.0010353070247210632-1.2942501772554023e-27j),(0.0020596163135433014-2.57211178736362e-27j)
4.500996210225059,(0.0011014962443335907-6.85870644370175e-28j),(0.002189899734109414-1.362103000225165e-27j)
4.786333755518256,(0.0011719999560697734-3.4945303273181024e-28j),(0.002328405347435832-6.934524674478462e-28j)
5.089760077373625,(0.0012471165820920954+8.531226666529557e-28j),(0.002475649586101514+1.6914495645823642e-27j)
5.412421901284931,(0.001327168689936491-5.927672087921866e-28j),(0.0026321809980217243-1.1741021713245004e-27j)
5.755538648616418,(0.0014125056333047236+9.77392169130892e-28j),(0.0027985822108099025+1.9338084355958658e-27j)
6.120407045107295,(0.0015035065887665754+1.6446061579060163e-27j),(0.002975471989965206+3.24991298913359e-27j)
6.508406021529179,(0.001600584092856911+8.973874108059777e-28j),(0.00316350743270751+1.770883351562513e-27j)
6.921001925017335,(0.0017041881576728775+1.3538053894814153e-27j),(0.0033633862892809225+2.667429988827114e-27j)
7.359754060770676,(0.0018148110893796993-4.5319602309327926e-27j),(0.0035758494050637823-8.913884647515219e-27j)
7.826320585063959,(0.001932993163859425+3.275873001833236e-27j),(0.0038016833088723736+6.430707849577842e-27j)
8.322464771843466,(0.002059329341447366+8.170508948362332e-28j),(0.004041722945213651+1.6003915531898042e-27j)
8.850061676589174,(0.0021944772518404545+5.612363323202894e-28j),(0.00429685455895754+1.0966028057373234e-27j)
9.411105222627858,(0.002339166742926099-3.591190054309168e-27j),(0.00456801873965828-6.997352623362514e-27j)
10.007715736678113,(0.0024942113539418247-9.617837831711236e-28j),(0.00485621363230804-1.8681527501682832e-27j)
10.642147962106051,(0.0026605221854248276-1.5086672093506424e-27j),(0.005162498322152579-2.9200860950826036e-27j)
11.316799580175843,(0.0028391247564885026-7.648152375980853e-28j),(0.0054879964004578745-1.4744523771310775e-27j)
12.034220271498974,(0.003031179622167702+4.1531563453629196e-27j),(0.005833899718587106+7.970819060990824e-27j)
12.797121351927888,(0.00323800774453655-1.5699050959002858e-27j),(0.006201472337305612-2.997762282480872e-27j)
