P,lK1_ratio,lK3_ratio
2.3965583187114756,(5.843120738860333e-05-7.360174553955053e-31j),(0.00011683932840750435-1.4716581349488606e-30j)
3.6687277927152033,(8.94624026043189e-05+2.036107913519356e-30j),(0.00017885032808527058+4.0701569810088496e-30j)
5.616205335774006,(0.00013700577043790186+1.3157708915672563e-30j),(0.0002737639877812025+2.6288050508551666e-30j)
8.597465976136796,(0.00020993439788319777-1.936833867022958e-30j),(0.00041902645722911614-3.865087867329919e-30j)
13.161274702689076,(0.0003221195664767133-3.9842760433702076e-22j),(0.0006413189735533671-7.924857234474375e-22j)
20.14769843584517,(0.0004989698477650641-1.0804885285197573e-19j),(0.0009814302859299001-5.181302845793726e-20j)
30.842738369317654,(0.0011189534434468938+8.374894079572879e-18j),(0.0015015448535908645+6.300243135484586e-19j)
47.215046083166854,(0.002852923487287343+4.803848542871735e-15j),(0.002295161298474852+6.682803020556845e-17j)
72.27829610788515,(0.014502227902118376-8.348330857778938e-14j),(0.0037142626694408295+2.297441905525955e-15j)
110.64591738525569,(0.10176647977563426+1.7982099129763302e-13j),(0.018550842221075052-2.7961339559934487e-13j)
169.3802938540668,(0.1952537105705498+2.7377024334389226e-12j),(0.02048975956196263+1.780856494085935e-13j)
259.2927477495259,(0.5083757289971189+1.5964162854050977e-12j),(0.0916711799879181-4.4701341210257e-12j)
396.9335954359906,(0.5224054467080682-3.043446365337585e-12j),(0.11018736053499158-8.15972428914037e-12j)
607.6385882490637,(0.6473964978844197+1.6806057334746823e-12j),(0.16788219980275468+1.0515115313559864e-11j)
930.1925011506275,(0.6921415026640648-1.07549543958092e-13j),(0.6236401351344424-1.893676760052742e-12j)
1423.9683027540061,(0.8460348319623942+1.4909369920422178e-12j),(0.7632926797076867+3.2047567909529075e-12j)
2179.8560241454584,(0.8080708502796844+7.657253516713504e-13j),(0.799581276501613+6.028747707553566e-13j)
3336.9930193060795,(0.8734935711616616-2.1788566945203263e-12j),(0.773193735803263-3.1060427953634676e-12j)
5108.375180541025,(0.9296375968937783+1.9731633841032438e-12j),(0.8960042401385512+2.7326837175550176e-12j)
7820.063402648082,(0.9440971677112139+1.589416126839884e-13j),(0.9290008994862989+1.3157523490054225e-13j)
11971.202086797195,(0.9546256026445433-9.622850063989252e-14j),(0.9526986358565538-8.934934440886183e-14j)
18325.89737755954,(0.9692565125222296-1.274326692779389e-12j),(0.966998571417767-6.000953560105655e-13j)
28053.86729401497,(0.9788034307453647+2.980477235761753e-13j),(0.9812993448380706+4.735330621804795e-13j)
42945.7534294569,(0.9904933310689052+4.4597188022323656e-13j),(0.9903046590476804+5.916500302009476e-13j)
65742.72695790435,(0.9944637911967615-5.4211355912747546e-14j),(0.9902231612122658-3.223985904414901e-13j)
100641.06000517828,(0.9956052237952693+1.1605516367690638e-13j),(0.9952658404961203+2.0831539016721102e-13j)
154064.53957182707,(0.9965958759069622+8.95951038726396e-14j),(0.9952249093274571+2.575314129850543e-13j)
235846.9033638739,(0.9986491252852622-3.1509987806948223e-15j),(0.9956418221087027-5.4832122368797914e-14j)
361041.95021720673,(0.9988817137195665-2.5794752188032992e-14j),(0.9974905545561562-3.5508861476821624e-14j)
552694.5147782284,(0.9989568683431471+5.222806453702523e-15j),(0.9988168559648806+8.746691841380527e-15j)
846082.3637867175,(0.9994892317602038+2.959224045483366e-14j),(0.9992088566980147+8.308204426853288e-14j)
1295209.825988886,(0.9992116168841809+1.389204723991072e-14j),(0.9996039666170126+1.3674021103289116e-14j)
1982748.4475979994,(0.99965850340442-3.5330987929112364e-14j),(0.9995465473757918-4.690862265485799e-14j)
3035254.4642338213,(0.9996801514586727-4.213906088311627e-15j),(0.9997752063146852-6.445460275776322e-15j)
4646464.191568099,(0.9998680852887663+2.1177260933088227e-15j),(0.9998783527482522+1.0749210836343573e-15j)
7112955.351166691,(0.9999139516615998-6.857998341039971e-16j),(0.9999095926168494+1.7145341675936706e-15j)
10888738.563724158,(0.9999138452030488+1.799649519736163e-15j),(0.99994017421169+2.9569488782233573e-15j)
16668827.74537398,(0.9999671560897968-3.7742925266994863e-16j),(0.9999463859527533+5.6255497761239575e-16j)
25517172.33166074,(0.9999821439014018-2.3075902665138017e-16j),(0.9999671301623312+6.11034675921451e-16j)
39062500.0,(0.9999866946546907+5.705933012728727e-16j),(0.9999759098646754+1.991819380978445e-15j)
