P,lK1_ratio,lK3_ratio
2.3965583187114756,(5.8431207390193536e-05-6.716037999832878e-31j),(0.0001168393284075855-1.3428638301758604e-30j)
3.6687277927152033,(8.946240261597052e-05+4.3110607996014815e-31j),(0.0001788503280853144+8.61776160468561e-31j)
5.616205335774006,(0.0001370057704466097-4.605852890787621e-31j),(0.0002737639877804077-9.202126301030437e-31j)
8.597465976136796,(0.00020993439788534593-4.887193285190843e-31j),(0.00041902645722905054-9.752737088364877e-31j)
13.161274702689076,(0.0003223793867209258-3.780788672566773e-22j),(0.0006413140224503313-1.4314323777532944e-22j)
20.14769843584517,(0.0004960489891260967-4.20981666792852e-22j),(0.0009814261128793858-3.650828216015944e-22j)
30.842738369317654,(0.0012257781040114295+4.262967598224517e-19j),(0.001501478878568286+1.3473378441888362e-19j)
47.215046083166854,(0.0031061306663667004+3.633272045396501e-15j),(0.002295196321324159+1.1676361601982083e-16j)
72.27829610788515,(0.014599955786690462+3.8994590171022135e-14j),(0.003502497661764314-4.515972194723803e-16j)
110.64591738525569,(0.11978526061232463-7.595976004452434e-13j),(0.023969588776946566-8.750393618107601e-14j)
169.3802938540668,(0.3127726764116371-1.5743466225928982e-13j),(0.012660427179793892-1.8117939018004625e-15j)
259.2927477495259,(0.4343996288536374-2.032724246784997e-12j),(0.015213257105491797+1.860265704943985e-14j)
396.9335954359906,(0.5314892354235727-3.7527085891613495e-12j),(0.1896253789404179-6.63505436545341e-12j)
607.6385882490637,(0.64012595100894-3.353206120377293e-12j),(0.49550692780953826+2.842680763887192e-13j)
930.1925011506275,(0.7309032058823985+5.599374630765236e-13j),(0.6475547743136792+4.4598799231266676e-13j)
1423.9683027540061,(0.7388005917858255-1.4615517522987714e-12j),(0.6892619301420302-5.966600148403758e-13j)
2179.8560241454584,(0.8722842563511833-5.41712622734755e-12j),(0.814056399203575-5.75451442634633e-12j)
3336.9930193060795,(0.8397680682606808-1.3439862349805582e-12j),(0.8778199150445418-6.18867841337853e-13j)
5108.375180541025,(0.90449037510152+5.6009373524200096e-14j),(0.9008121640738431-5.3806061861519433e-14j)
7820.063402648082,(0.9527260187214167+8.092919222545339e-15j),(0.940875105578906-1.7894266837464134e-15j)
11971.202086797195,(0.9702125451995013+2.4747381007794755e-13j),(0.9597973130023126+7.652450792074713e-13j)
18325.89737755954,(0.9486655482512666-5.704498560464964e-20j),(0.976059786400769-2.737157946524046e-20j)
28053.86729401497,(0.9864666101706999+5.667793051932517e-13j),(0.9813730635558183+3.5550874792435363e-13j)
42945.7534294569,(0.9919827707432517+2.4375989024892797e-13j),(0.9910842516680355+2.9997803232504593e-13j)
65742.72695790435,(0.9938125894369191-1.856328187417063e-13j),(0.99307541060027-3.651604046268912e-14j)
100641.06000517828,(0.9919407839536479-1.179972695828298e-13j),(0.9958375083788331-1.6651607006211584e-13j)
154064.53957182707,(0.9960602590043702+9.223040547079124e-14j),(0.9963168402681476+9.078275490648561e-14j)
235846.9033638739,(0.9980717610476448-3.585027744343258e-14j),(0.9978464127382077-1.4570092125325417e-14j)
361041.95021720673,(0.9981304991114559-7.51343733570473e-14j),(0.9987182533224765-2.5929975861615042e-14j)
552694.5147782284,(0.9985002019416299+1.8794167608759772e-14j),(0.9991424865849059+1.0893087222253365e-14j)
846082.3637867175,(0.9995751028029611-3.837139267819815e-15j),(0.9992249392673076+1.075384229361291e-14j)
1295209.825988886,(0.9996209415877119-2.378203408402846e-14j),(0.9995833109068413-1.3241149007155825e-14j)
1982748.4475979994,(0.999704927805085+1.5545907447140658e-14j),(0.9996363339916577+1.39105004617907e-14j)
3035254.4642338213,(0.9998567100379427-1.2171717051322682e-15j),(0.9997750870211703+1.4603911993065396e-15j)
4646464.191568099,(0.9999109765600459-1.2732981197910538e-15j),(0.9998965755921287-5.449850103940256e-16j)
7112955.351166691,(0.9999564988694165-3.041617173805957e-16j),(0.9999475180363978-3.130027099830866e-16j)
10888738.563724158,(0.9999595422085287+9.503216623215736e-17j),(0.9999624422550597+1.493279536020317e-16j)
16668827.74537398,(0.9999533278551627+2.7259085620559403e-17j),(0.9999740093327767+1.4697430326790832e-17j)
25517172.33166074,(0.9999820720396759+5.774261281824906e-16j),(0.9999728638658564+9.54880186593092e-16j)
39062500.0,(0.9999828180438302+2.752705136977194e-16j),(0.9999843060272988+2.8811198804887053e-16j)
