P,lK1_ratio,lK3_ratio
2.3965583187114756,(5.843121028239825e-05+2.071402976300388e-38j),(0.00011683933333314124+4.1417455615225257e-38j)
3.6687277927152033,(8.946240376306246e-05+4.649221799069154e-38j),(0.00017885032930451325+9.293742183496176e-38j)
5.616205335774006,(0.0001370057609561962-5.778701249001497e-38j),(0.00027376396696717604-1.1545381635040307e-37j)
8.597465976136796,(0.00020993434248548612-5.691560072528171e-37j),(0.00041902634393902296-1.1357907473431646e-36j)
13.161274702689076,(0.0003221184646906695-1.9281065163310136e-36j),(0.0006413185105622368-3.8375185126491285e-36j)
20.14769843584517,(0.0004958440649512638+3.3989019104695976e-37j),(0.0009814248763824957+6.724183135350055e-37j)
30.842738369317654,(0.0007691737476991371+4.003870256310412e-26j),(0.0015015408621606322+6.931372953861139e-26j)
47.215046083166854,(0.0012151246457858611+4.4156184664585174e-27j),(0.002296542707908835+8.644989525946433e-27j)
72.27829610788515,(0.0020232905867077194-9.93436413843957e-26j),(0.0035124440703374013-1.72827924956111e-25j)
110.64591738525569,(0.003823504107866106+2.771566336356056e-25j),(0.005368111280145952+3.870807879359375e-25j)
169.3802938540668,(0.012776052187282632-3.8786940816434257e-19j),(0.008195805315881082-2.3930844392959013e-19j)
259.2927477495259,(0.22175530270836688+2.763101790718381e-39j),(0.012338286182436178+1.951056106907092e-40j)
396.9335954359906,nan,nan
