P,lK1_ratio,lK3_ratio
2.3965583187114756,(5.84312102824718e-05+1.129324014563919e-37j),(0.00011683933333313221+2.258069907239731e-37j)
3.6687277927152033,(8.946240376304797e-05-1.7290172126557703e-37j),(0.00017885032930449858-3.4562859984069453e-37j)
5.616205335774006,(0.00013700576095645973+1.183071988770705e-37j),(0.0002737639669673479+2.3636829497841435e-37j)
8.597465976136796,(0.00020993434248549008-2.1027563537112517e-36j),(0.0004190263439390576-4.196197843824594e-36j)
13.161274702689076,(0.000322128844553873+1.3172087119270984e-36j),(0.0006413184999867349+2.6215640559796943e-36j)
20.14769843584517,(0.0004958440649509912+4.065360828329621e-36j),(0.0009814248763816706+8.042665378851195e-36j)
30.842738369317654,(0.0007687904649587757-3.987006046688987e-28j),(0.0015017106188387197-8.687907478646775e-28j)
47.215046083166854,(0.0012157953509158589+7.785295290344631e-31j),(0.002297015961743342+1.3853892204058994e-30j)
72.27829610788515,(0.002024066067240924-1.65480867076289e-23j),(0.0035124436722220086-2.8230622959120025e-23j)
110.64591738525569,(0.003826193719399108-1.2425527516610347e-26j),(0.005368109443015228-1.7542346921248808e-26j)
169.3802938540668,(0.012780181416970546+9.62885254831382e-21j),(0.00819560210923515+6.228865928621473e-21j)
259.2927477495259,(0.22175530270836794+1.0172756054498705e-38j),(0.012338286182436183+7.183093250808376e-40j)
396.9335954359906,nan,nan
607.6385882490637,nan,nan
930.1925011506275,nan,nan
1423.9683027540061,nan,nan
2179.8560241454584,nan,nan
3336.9930193060795,nan,nan
