P,lK1_ratio,lK3_ratio
1.9036539387158786,(0.0004642784498778687-1.2045454058561558e-35j),(0.0009273651556672841-2.4048842052893296e-35j)
2.6049388991366236,(0.0006356938046006456+3.4187428673443986e-34j),(0.0012685638973002065+6.817979517587722e-34j)
3.5645694473295215,(0.0008709269808768177+1.083937490022874e-34j),(0.001735080711035731+2.1575774146987276e-34j)
4.877717227473702,(0.001194606975453291+3.5994006725578143e-34j),(0.0023727557097772013+7.140779100958523e-34j)
6.674614060056579,(0.0016422717340214903-8.36837317645726e-34j),(0.0032440351630897923-1.6503809933657513e-33j)
9.133467721288723,(0.00226743594610647+8.945534638311356e-34j),(0.00443384887692965+1.745452908726499e-33j)
12.49813575215402,(0.0031566184033607076-1.6191043408764633e-33j),(0.006057450164814699-3.097968202163648e-33j)
17.10231010234854,(0.00446607301376236+3.933026469228227e-33j),(0.008270771760693277+7.255780473824047e-33j)
23.402611128342357,(0.0065276001118725726+6.812086733291122e-24j),(0.011283904847340829+1.1652211645698041e-23j)
32.02387305263538,(0.010230567637560037+3.598152371756049e-33j),(0.015378163893882172+5.3804640077084216e-33j)
43.821112083057834,(0.019050965308819588-4.836914508306143e-27j),(0.02092564427600808-5.3029794016934176e-27j)
59.96432289872218,(0.06022984416141911-1.576757218567649e-20j),(0.028386942230167356-7.712204311434445e-21j)
82.05451321926631,(0.24048464233605776-5.18865826720793e-23j),(0.03820338301395175-1.0436774161737928e-23j)
112.28248422019992,(0.43447643459667823-1.256997426450301e-37j),(0.05124892084810996-2.487450594915611e-38j)
153.64610388913084,(0.5834632759312093+1.156238183637739e-24j),(0.06866152154535608+3.0422784286636313e-25j)
210.24762147240227,(0.6942012417332597-4.229022375782474e-38j),(0.09180128046314512-1.6609191919121042e-38j)
287.7005092605517,(0.7758540299036746+5.2676396559651205e-39j),(0.12238298369392052+3.253352903775268e-39j)
393.68618036730385,(0.8358576300991953-4.777771040937393e-38j),(0.1625417676624534-4.740241384484687e-38j)
538.7157951529168,(0.8798709402565277-3.025981154258854e-41j),(0.2147886717468167-4.828331674224092e-41j)
737.1727086698178,(0.9121183688765468+2.668862967205862e-43j),(0.28154333525925446+6.734770385098516e-43j)
1008.7389441650615,(0.9357274323014515+1.6589702129992513e-38j),(0.3636547010521473+6.383305390447658e-38j)
1380.347163572235,(0.95300333239894-1.4518321652268712e-36j),(0.4579354444100791-8.04655900507762e-36j)
1888.8517222451342,nan,nan
2584.6837105785125,(0.9748823696988457+7.92874010844517e-37j),(0.6488415909378481+7.377599161612244e-36j)
3536.8524723524615,(0.9816398778438659-8.928890937016524e-50j),(0.7290426400736548-9.786415289397864e-49j)
4839.789626865348,nan,nan
6622.714352779804,(0.9901916828753855+3.130866306908204e-49j),(0.8459805123751175+4.2003626004297685e-48j)
9062.448738484387,(0.9928314999511185-1.1792469983937895e-47j),(0.8854435304655837-1.6806660572410382e-46j)
12400.954165143032,(0.9947609730335556-5.126577182166181e-43j),(0.9152415395839787-7.630920170309237e-42j)
16969.32789842155,nan,nan
23220.63975799126,(0.9972018426763966+7.264933030010026e-41j),(0.9540493053383938+1.1414038028036402e-39j)
31774.865451245132,nan,nan
43480.37284792158,nan,nan
59498.059115154916,nan,nan
81416.48303827013,(0.9992018814375998+1.2752601671121582e-39j),(0.9867388948570761+2.092474170441987e-38j)
111409.41080937746,(0.9994167409652132+3.6234382319965723e-50j),(0.9902969350508939+5.972926093287689e-49j)
152451.3999340688,nan,nan
208612.80185408835,nan,nan
285463.44025856163,nan,nan
390625.0,nan,nan
