P,lK1_ratio,lK3_ratio
1.9036539387158786,(0.0004642784498802953+2.5460917933703357e-36j),(0.0009273651556714361+5.0832918995142154e-36j)
2.6049388991366236,(0.0006356938046008009-7.70630537216606e-35j),(0.0012685638973003906-1.5368641113679858e-34j)
3.5645694473295215,(0.0008709269808852565+4.245906965942824e-35j),(0.0017350807110360785+8.451477195122606e-35j)
4.877717227473702,(0.0011946069700621968-4.892704363156801e-34j),(0.002372755709699885-9.706538460344989e-34j)
6.674614060056579,(0.0016422710514712828+4.751266995097975e-34j),(0.0032440351575020792+9.370280880710301e-34j)
9.133467721288723,(0.002267435946084899+6.307599898965125e-34j),(0.004433848876931091+1.2307390263676269e-33j)
12.49813575215402,(0.003156618403361431+1.2359942989111109e-33j),(0.006057450164814972+2.3649316117754514e-33j)
17.10231010234854,(0.004465991398475807-7.990643226172757e-27j),(0.00827077177421001-1.4837834747447102e-26j)
23.402611128342357,(0.006527527128164592+2.2626861599125286e-34j),(0.01128390500002645+3.892698984980057e-34j)
32.02387305263538,(0.010230567637559232-4.105726224140565e-34j),(0.015378163893882163-6.1394598927075e-34j)
43.821112083057834,(0.01905102810999075-1.0363134245901532e-34j),(0.020925644233567558-1.1361110995423023e-34j)
59.96432289872218,(0.06023027003575816-1.0009847938202115e-22j),(0.02838694202402802-4.882501385523343e-23j)
82.05451321926631,(0.24048419179739358+2.1614677618622267e-33j),(0.03820338424328288+4.3482098225372e-34j)
112.28248422019992,(0.43447643459667346-5.510321308049346e-37j),(0.05124892084811-1.0904280094340123e-37j)
153.64610388913084,(0.5834628044797463+5.307903831646249e-37j),(0.0686615216588364+1.3966161252303934e-37j)
210.24762147240227,(0.6942012417331854-4.4943603449767943e-38j),(0.09180128046314606-1.7651288380541682e-38j)
287.7005092605517,(0.7758540299035627+4.183071126550783e-41j),(0.122382983693923+2.5835113039326095e-41j)
393.68618036730385,nan,nan
538.7157951529168,nan,nan
737.1727086698178,(0.9121183688764928+9.470467767926516e-38j),(0.2815433352592605+2.3898351710143346e-37j)
1008.7389441650615,nan,nan
1380.347163572235,(0.9530033323985992+3.4248622332913623e-34j),(0.45793544441016426+1.8981778131046814e-33j)
1888.8517222451342,(0.9656405520606933-1.4556348140432206e-35j),(0.556241229179511-1.082931251723394e-34j)
2584.6837105785125,(0.9748823696988408+7.098919343690194e-38j),(0.6488415909378502+6.605460726697961e-37j)
3536.8524723524615,nan,nan
4839.789626865348,(0.9865802227456156-4.017201114080024e-38j),(0.7945246450088712-4.953509203849141e-37j)
6622.714352779804,(0.9901916828753854-3.325423594643905e-41j),(0.8459805123751175-4.4613801830851336e-40j)
9062.448738484387,nan,nan
12400.954165143032,(0.994760973033556+8.995917178693552e-41j),(0.9152415395839787+1.3390440328898867e-39j)
16969.32789842155,nan,nan
23220.63975799126,nan,nan
31774.865451245132,nan,nan
43480.37284792158,nan,nan
59498.059115154916,nan,nan
81416.48303827013,nan,nan
111409.41080937746,(0.999416740965213+1.091937966769693e-37j),(0.9902969350508939+1.799965766320137e-36j)
152451.3999340688,(0.9995737596405156-9.520556555436369e-39j),(0.992902724401381-1.5746763082174862e-37j)
208612.80185408835,nan,nan
285463.44025856163,nan,nan
390625.0,nan,nan
