P,lK1_ratio,lK3_ratio
3.017088168272582,(7.354953135651377e-06+1.4181851073401555e-32j),(1.4710851217187687e-05+2.8362663895247466e-32j)
5.1669402385990635,(1.2613098381130785e-05-6.0867772733918666e-33j),(2.5199953983754664e-05-1.2172455830733234e-32j)
8.848687854070748,(2.3526826870748302e-05+2.113443864799844e-32j),(4.3137670281390894e-05+5.129000167642886e-32j)
15.153896333821116,(0.00022872810991932522+1.1440377179137286e-22j),(8.036957058307492e-05-4.266475340781831e-24j)
25.95193523416619,(0.0002620399122678507+3.2084199172887634e-19j),(0.00013657379069079959+1.3455236098929398e-20j)
44.44420943379452,(0.0006098545971437196-1.0110729941547832e-18j),(0.00022550561010099395+1.6097847217918443e-20j)
76.11331233574015,(0.009236577944464882+9.075319840454726e-16j),(0.0005518628042302381+4.360738043723818e-18j)
130.3485063301151,(0.17186616649929953+2.690229928323403e-15j),(0.004248261769903965+3.578858802898144e-17j)
223.22945331225353,(0.454478310175971-7.191383644726829e-14j),(0.08307083678989523+6.255634004309422e-16j)
382.29351627464496,(0.6252966111940527-2.49837363634727e-14j),(0.2436449787471861+4.75954975510796e-14j)
654.7000425665157,(0.7280048212789342+4.9137992366878736e-14j),(0.2749682372741871+9.659876509612354e-14j)
1121.212177265025,(0.8149502055227053+2.4698407252755298e-14j),(0.5422833865119234+5.622887852424823e-13j)
1920.1415376716732,(0.8490380158900664-8.524243757991517e-14j),(0.7703472316869447-1.7264472883337787e-13j)
3288.354871141073,(0.8989648249151817+1.4303077901403757e-13j),(0.9059676019661763+1.5836977939965597e-13j)
5631.50035891063,(0.9439760451789668-2.3638993978630268e-14j),(0.9359783196474719-3.314419454322967e-14j)
9644.274275484657,(0.9643744114112252+3.0416089953576194e-14j),(0.9701483899333604+2.3565744828879737e-14j)
16516.384688425675,(0.9756733440867963-9.278781817018967e-15j),(0.9752773528678375+5.993132671790319e-15j)
28285.276360242606,(0.9890727526344839+8.314921907659676e-15j),(0.9896343923963362+7.919014746566268e-15j)
48440.192806598934,(0.993016102702548+2.820726428923816e-15j),(0.9935499427789396+4.093657321737972e-15j)
82956.6679588334,(0.9965710145631221-4.3105318945017277e-16j),(0.9969022124846997-6.553170667582536e-16j)
142068.15373977227,(0.9981363175571295-5.716276235579067e-16j),(0.9983607443479934-7.227048778685567e-16j)
243300.03607477894,(0.9985844224779983-2.479335510844964e-16j),(0.9987620634336097-3.7364838089583065e-16j)
416665.5650527891,(0.9990886564851836+2.1163782966215807e-15j),(0.9994153399038259+1.320299372997436e-15j)
713564.1897208781,(0.9996260590355533+1.3557853574839813e-16j),(0.999591415539845+3.858839688682815e-17j)
1222020.4777121525,(0.9997448994190072-3.5058125455527093e-16j),(0.9997715408277945-1.8126689773150334e-16j)
2092781.6578519426,(0.9998447885103963-9.644031981633542e-17j),(0.9998752960181923-2.1003473624571978e-17j)
3584011.1907463167,(0.9999080923652998+1.696011339499094e-17j),(0.9999172440863836+6.682098048583905e-17j)
6137829.126703678,(0.9999509534610692+1.0613586008313496e-17j),(0.9999542365143947+4.471317768749945e-18j)
10511391.952648228,(0.9999735005465227-5.753710233564018e-17j),(0.9999786322785394-6.073028720255424e-17j)
18001374.509025518,(0.9999809376083061+4.395553134794592e-17j),(0.9999798028018331+3.6756217079655474e-17j)
30828408.423353698,(0.9999903443431369-1.4890706369381935e-17j),(0.9999913249734996-1.2589660785116259e-17j)
52795455.449282564,(0.9999934734554409+1.3454541982401627e-18j),(0.9999931791182246+2.0785469999015375e-18j)
90415310.37929446,(0.9999961599299578+3.99767297909772e-18j),(0.9999967629260713+3.773441251281403e-18j)
154841515.83534145,(0.9999979254332954+5.216497054439941e-19j),(0.9999978444632338+1.2214513237400191e-18j)
265175166.96682045,(0.9999988143448231+2.1142560467412253e-18j),(0.9999990281889654+2.3867267972825845e-18j)
454128008.2187841,(0.9999991298063743+5.944727236019069e-19j),(0.9999992559873748+9.966618678545004e-19j)
777720818.3093742,(0.9999995695356318+4.140709973297652e-20j),(0.999999677761522+3.4891639639664163e-20j)
1331892462.665297,(0.9999996859700038+7.769244222228647e-19j),(0.9999997778714466+5.981133398656976e-19j)
2280943868.7276654,(0.9999998785410195+6.756686860640396e-20j),(0.999999854377086+1.2358777983557288e-19j)
3906250000.0,(0.9999999073781054+7.687746219307497e-20j),(0.999999924343141+1.0203958312923195e-19j)
