P,lK1_ratio,lK3_ratio
3.017088168272582,(7.355564440612536e-06-1.0600389488798467e-32j),(1.471069489060922e-05-2.1199995394995173e-32j)
5.1669402385990635,(1.2603806943799512e-05+7.907005763598868e-33j),(2.5207724023216392e-05+1.581272449520959e-32j)
8.848687854070748,(2.2534573900984225e-05-3.0832105374548134e-33j),(4.3174987747793934e-05-9.596830033389165e-33j)
15.153896333821116,(0.00017295232372542898+2.9498464674002634e-22j),(7.778525425268492e-05+8.527735952831276e-23j)
25.95193523416619,(0.0003824003665281608-1.584020960030049e-19j),(0.00013318560442072424-4.462370791348822e-21j)
44.44420943379452,(0.0007152647524528079+1.4306415072486558e-19j),(0.0002591445149300468-2.1033068462038108e-19j)
76.11331233574015,(0.010256786747444024-3.1243706014489106e-16j),(0.0007938626233338416-2.595361565685981e-17j)
130.3485063301151,(0.20830095175858793-2.2445677807765834e-14j),(0.010579980071187335+1.4586289656850542e-14j)
223.22945331225353,(0.4658502716755684+1.787062833511753e-14j),(0.06094627809872738+5.145811444707894e-15j)
382.29351627464496,(0.6105930366933318-1.3497824314788775e-14j),(0.15847624525990958+4.0755773662207424e-14j)
654.7000425665157,(0.7129048957366984-1.1004357288551183e-14j),(0.3492037092728289+1.442225389097169e-14j)
1121.212177265025,(0.8207373337896912+3.681017559605181e-14j),(0.6795278159366607+8.626064852045731e-15j)
1920.1415376716732,(0.8217977994948457+7.286932255479919e-14j),(0.693141241633374+2.377151395530001e-13j)
3288.354871141073,(0.9002680978435608-1.4794415340249942e-14j),(0.8958698454085317+4.097858019776123e-14j)
5631.50035891063,(0.9513506372578421-5.122808743380669e-14j),(0.9334049724017216-6.941328361910454e-14j)
9644.274275484657,(0.9754193867676981+3.523588494422974e-14j),(0.9713810736936691+3.4300790565326445e-14j)
16516.384688425675,(0.9786952035796609+1.83952086185765e-14j),(0.9795343437686403-4.0841910844366054e-15j)
28285.276360242606,(0.9913432845833332-1.717704394191277e-14j),(0.9926475427039807-1.2529602490888e-14j)
48440.192806598934,(0.993095422798668-1.8222808630095587e-15j),(0.9891387583254723-6.002454211125468e-16j)
82956.6679588334,(0.9966851675048026-3.0844312988930137e-15j),(0.9964083632652608-1.0959453100713174e-15j)
142068.15373977227,(0.997864819063109-3.2682260541644266e-16j),(0.9975695351422569+2.36981628852695e-16j)
243300.03607477894,(0.9987024743899715-3.902203146655536e-16j),(0.9986644986216253-2.2396509098548735e-15j)
416665.5650527891,(0.9992913837753564+5.329058628746919e-16j),(0.9993101284186625+8.214705814376732e-16j)
713564.1897208781,(0.9995400510926639+1.0052148339802532e-15j),(0.9995390794944103+7.537347522856247e-16j)
1222020.4777121525,(0.9997097616308216+5.577534680087603e-16j),(0.9997616119482777+1.943280852055837e-16j)
2092781.6578519426,(0.999820761745612+1.6205337439848586e-17j),(0.9998415632693971+6.381134402154748e-17j)
3584011.1907463167,(0.9999255755881243+1.7428844542073947e-17j),(0.9999223464377045+3.468672861650451e-18j)
6137829.126703678,(0.999953836909758+8.921394776766822e-17j),(0.9999534830118358+7.896628947280689e-17j)
10511391.952648228,(0.9999708088133978+1.1362308021139405e-17j),(0.9999619167074634+1.1336530949396732e-17j)
18001374.509025518,(0.9999816711767084+1.6045647329887835e-17j),(0.9999839183890757+1.9814510399496305e-17j)
30828408.423353698,(0.9999909992221762-5.0559068483886145e-18j),(0.9999916617532753-2.2406139293462095e-19j)
52795455.449282564,(0.9999939242641953+1.5366108148645067e-18j),(0.9999943215452414+2.8896300533532553e-18j)
90415310.37929446,(0.9999965594362213-1.1410582424019393e-19j),(0.9999972009281485-5.021392772892532e-19j)
154841515.83534145,(0.9999981284489404-1.6671210376901718e-18j),(0.9999982375285843-9.881612158427822e-19j)
265175166.96682045,(0.9999988609459097-2.1503391910361785e-18j),(0.9999989776535619-1.6736872409237883e-18j)
454128008.2187841,(0.9999993545763083+8.329840041099807e-19j),(0.9999993014469911+4.526007876718964e-19j)
777720818.3093742,(0.9999995932721862-1.138102022331005e-18j),(0.9999995267658153-2.8991378917412436e-19j)
1331892462.665297,(0.9999997378753297+3.4491217376477606e-20j),(0.9999997771130644-9.459611958690394e-20j)
2280943868.7276654,(0.9999998817340343+1.087347857785338e-19j),(0.9999998509147531+8.645559174913454e-20j)
3906250000.0,(0.9999999330641852+9.30669875616488e-20j),(0.9999999234542892+7.488351948409463e-20j)
