group=SampleComplexityTestI  split=train  features=erf(W0 x) (readout features)
run                                                                                P_tr   P_ev     sigma2      MSE_m_krr      MSE_m_y    MSE_krr_y     corr
d100_P100_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            100    100     0.2411     1.2618e-03   1.8188e-04   2.1217e-03   0.9999
d100_P400_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            400    400     0.1138     5.7474e-05   5.9522e-05   1.2221e-04   1.0000
d100_P700_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            700    700    0.09999     3.8676e-05   4.3623e-05   7.0788e-05   1.0000
d100_P1000_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                          1000   1000    0.09444     2.9346e-05   4.2271e-05   6.1063e-05   1.0000
d100_P4000_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                          4000   4000    0.07914     2.4386e-03   1.0548e-02   7.3859e-03   0.9988
d100_P6000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                          6000   6000    0.07446     1.7606e-03   9.5731e-03   7.5654e-03   0.9991
d100_P8000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                          8000   8000      0.071     1.6751e-03   9.7360e-03   8.0398e-03   0.9992
d100_P10000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                        10000  10000    0.06833     1.6264e-03   9.4784e-03   7.8545e-03   0.9992

He3 cubic: (f - <f,He1> He1) / <y,He3> vs x0; learned = that residual's He3 coeff:
run                                                                                P_tr   P_ev      eps    <y,He3>    learned     corr   MSE_vs_He3
d100_P100_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            100    100    0.074      0.303     0.2777   0.3612   1.4195e+00
d100_P400_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            400    400    0.074  0.0007792    69.2322   0.7798   9.2015e+03
d100_P700_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                            700    700    0.074  -0.001835   -29.0311  -0.6183   2.6495e+03
d100_P1000_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                          1000   1000    0.074   -0.04916    -0.8931  -0.6388   5.1594e+00
d100_P4000_N700_chi_700.0_lr_0.005_T_0.1_seed_0_eps_0.074                          4000   4000    0.074    0.07281    -0.0295  -0.0316   1.9381e+00
d100_P6000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                          6000   6000    0.074     0.0477    -0.0915  -0.0725   2.8335e+00
d100_P8000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                          8000   8000    0.074    0.05803    -0.0937  -0.0930   2.2040e+00
d100_P10000_N700_chi_700.0_lr_0.001_T_0.1_seed_0_eps_0.074                        10000  10000    0.074    0.05468    -0.0933  -0.0897   2.2778e+00
